mz,cluster,fold_change,p_value,p_adjusted,significant
721.121013368748,1,1.1146,6.341257e-14,0.0,True
747.1693768647791,1,0.7228,1.0,0.0,True
747.1770924891719,1,0.6676,1.0,0.0,True
768.7269982412499,1,9.4775,0.0,0.0,True
768.7350501854364,1,14.4107,0.0,0.0,True
768.7431022561326,1,16.7124,0.0,0.0,True
768.751154453341,1,17.4407,0.0,0.0,True
768.7592067770642,1,17.2707,0.0,0.0,True
768.767259227305,1,15.9089,0.0,0.0,True
768.775311804066,1,12.3706,0.0,0.0,True
768.7833645073498,1,5.1267,0.0,0.0,True
780.1248315630601,1,11.6089,0.0,0.0,True
780.1330632480972,1,13.9056,0.0,0.0,True
780.1412950634232,1,15.7519,0.0,0.0,True
780.1495270090408,1,15.5825,0.0,0.0,True
780.1577590849528,1,14.5701,0.0,0.0,True
780.1659912911621,1,11.4281,0.0,0.0,True
784.1574289327525,1,1.0387,0.0,0.0,True
784.1657245269123,1,1.1957,0.0,0.0,True
784.1740202527114,1,1.4266,0.0,0.0,True
784.1823161101529,1,1.7872,0.0,0.0,True
784.1906120992392,1,2.2933,0.0,0.0,True
784.1989082199732,1,2.9983,0.0,0.0,True
784.2072044723578,1,3.9484,0.0,0.0,True
784.2155008563957,1,5.248,0.0,0.0,True
784.2237973720897,1,6.7886,0.0,0.0,True
784.2320940194426,1,7.8116,0.0,0.0,True
784.240390798457,1,8.1905,0.0,0.0,True
784.2486877091361,1,8.1601,0.0,0.0,True
784.2569847514823,1,8.8959,0.0,0.0,True
784.2652819254985,1,9.2983,0.0,0.0,True
784.2735792311876,1,10.1249,0.0,0.0,True
790.8446160477569,1,7.4288,0.0,0.0,True
790.8530179837829,1,10.1217,0.0,0.0,True
790.8614200537032,1,11.332,0.0,0.0,True
790.8698222575206,1,11.8367,0.0,0.0,True
790.8782245952377,1,11.588,0.0,0.0,True
790.8866270668576,1,9.7049,0.0,0.0,True
790.895029672383,1,4.6434,0.0,0.0,True
790.9034324118169,1,0.9013,0.0,0.0,True
